issue_number,primary_label,text_length,word_count,question_mark_flag,has_solution_comment,turn_count,reassignment_count,reopen_count,resolution_success,sla_breach_flag,sla_remaining_norm,sla_limit_hours,frustration_score,interaction_depth,first_response_time_hours,intent_group,confidence_score,uncertainty_flag,confidence_band,rl_recommendation,suggested_action,urgency_score,urgent_flag,has_version,has_error_type,has_platform,has_hardware,entity_count,missing_version,missing_error,missing_platform,missing_hardware,missing_count,completeness_score
303181,duplicate,1634,180,0,0,1,0,0,0,0,0.9999,72.0,0.0064,1,0.66,duplicate,0.6989,0,medium,route_or_clarify,route_duplicate,0.0257,0,1,0,1,1,3,0,0,0,0,0,1.0
303177,triage,14,3,0,0,0,0,0,0,0,0.9996,24.0,0.0,0,-1.0,needs_info,0.5434,1,low,clarify_first,clarify,0.136,0,0,0,0,0,0,0,0,0,0,0,1.0
303167,duplicate,1226,165,1,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.7458,0,medium,route_or_clarify,route_duplicate,0.0193,0,1,0,1,1,3,0,0,0,0,0,1.0
303166,duplicate,1226,165,1,0,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0,duplicate,0.7458,0,medium,route_or_clarify,route_duplicate,0.0193,0,1,0,1,1,3,0,0,0,0,0,1.0
303165,duplicate,1226,165,1,0,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0,duplicate,0.7458,0,medium,route_or_clarify,route_duplicate,0.0193,0,1,0,1,1,3,0,0,0,0,0,1.0
303162,duplicate,1199,149,0,0,0,0,0,0,0,1.0,72.0,0.0,0,-1.0,duplicate,0.6196,0,medium,route_or_clarify,route_duplicate,0.0423,0,1,0,1,1,3,0,0,0,0,0,1.0
303154,invalid,104,19,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,needs_info,0.5465,1,low,clarify_first,clarify,0.0173,0,0,0,0,0,0,0,0,0,0,0,1.0
303141,billing,2245,247,0,0,0,0,0,0,0,0.9992,24.0,0.0,0,-1.0,billing,0.5469,1,low,clarify_first,route_billing,0.5421,0,1,0,1,1,3,0,0,0,0,0,1.0
303140,unlabelled,531,83,0,0,1,1,0,0,0,0.9919,72.0,0.0255,2,0.58,duplicate,0.3344,1,low,clarify_first,route_duplicate,0.8171,1,1,0,1,0,2,0,0,0,0,0,1.0
303131,duplicate,1090,151,1,0,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0,duplicate,0.7101,0,medium,route_or_clarify,route_duplicate,0.0388,0,1,0,1,1,3,0,0,0,0,0,1.0
303132,duplicate,1090,151,1,0,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0,duplicate,0.7101,0,medium,route_or_clarify,route_duplicate,0.0388,0,1,0,1,1,3,0,0,0,0,0,1.0
303125,duplicate,1371,164,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.5294,1,low,clarify_first,route_duplicate,0.0191,0,1,0,1,1,3,0,0,0,0,0,1.0
303124,duplicate,1371,164,0,0,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0,duplicate,0.5294,1,low,clarify_first,route_duplicate,0.0191,0,1,0,1,1,3,0,0,0,0,0,1.0
303122,duplicate,1510,197,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.7031,0,medium,route_or_clarify,route_duplicate,0.0278,0,1,0,1,1,3,0,0,0,0,0,1.0
303108,duplicate,1223,156,1,0,1,0,0,0,0,0.9999,72.0,0.0064,1,0.11,duplicate,0.6096,0,medium,route_or_clarify,route_duplicate,0.0342,0,1,0,1,1,3,0,0,0,0,0,1.0
303105,duplicate,1293,180,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.5961,1,low,clarify_first,route_duplicate,0.028,0,1,0,1,1,3,0,0,0,0,0,1.0
303095,duplicate,1554,199,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.65,0,medium,route_or_clarify,route_duplicate,0.0278,0,1,0,1,1,3,0,0,0,0,0,1.0
303090,unlabelled,1388,165,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,other,0.7857,0,medium,route_or_clarify,clarify,0.0191,0,1,0,1,1,3,0,0,0,0,0,1.0
303087,duplicate,1364,168,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.6824,0,medium,route_or_clarify,route_duplicate,0.0191,0,1,0,1,1,3,0,0,0,0,0,1.0
303086,duplicate,1364,168,0,0,1,0,0,0,0,0.9997,72.0,0.0064,1,0.09,duplicate,0.6824,0,medium,route_or_clarify,route_duplicate,0.0182,0,1,0,1,1,3,0,0,0,0,0,1.0
303079,duplicate,1783,191,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.7297,0,medium,route_or_clarify,route_duplicate,0.0332,0,1,0,1,1,3,0,0,0,0,0,1.0
303078,duplicate,1783,191,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.7297,0,medium,route_or_clarify,route_duplicate,0.0332,0,1,0,1,1,3,0,0,0,0,0,1.0
303072,duplicate,813,126,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.7164,0,medium,route_or_clarify,route_duplicate,0.0423,0,1,0,1,0,2,0,0,0,0,0,1.0
303071,duplicate,452,68,0,0,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0,duplicate,0.7061,0,medium,route_or_clarify,route_duplicate,0.0847,0,1,0,1,0,2,0,0,0,0,0,1.0
303065,unlabelled,1362,172,0,0,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0,needs_info,0.4715,1,low,clarify_first,clarify,0.0191,0,1,0,1,1,3,0,0,0,0,0,1.0
303025,triage,353,52,0,0,1,0,0,0,0,0.8633,24.0,0.0064,1,0.28,duplicate,0.4819,1,low,clarify_first,route_duplicate,0.7508,1,1,0,1,0,2,0,0,0,0,0,1.0
303023,duplicate,1536,197,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.5289,1,low,clarify_first,route_duplicate,0.0278,0,1,0,1,1,3,0,0,0,0,0,1.0
303006,duplicate,1267,161,0,0,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0,duplicate,0.5678,1,low,clarify_first,route_duplicate,0.0208,0,1,0,1,1,3,0,0,0,0,0,1.0
302993,bug,488,87,1,0,2,2,0,0,0,0.77,48.0,0.051,4,1.5,bug,0.6641,0,medium,route_or_clarify,route_technical,0.0796,0,0,0,0,0,0,1,1,1,0,3,0.0
302992,unlabelled,696,105,0,0,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0,other,0.4864,1,low,clarify_first,clarify,0.0393,0,1,0,1,0,2,0,0,0,0,0,1.0
302957,duplicate,1116,145,1,0,1,0,0,0,0,0.9997,72.0,0.0064,1,0.01,duplicate,0.7314,0,medium,route_or_clarify,route_duplicate,0.0391,0,1,0,1,1,3,0,0,0,0,0,1.0
302956,duplicate,1116,145,1,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.7314,0,medium,route_or_clarify,route_duplicate,0.0391,0,1,0,1,1,3,0,0,0,0,0,1.0
302954,duplicate,758,117,1,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,needs_info,0.3672,1,low,clarify_first,clarify,0.0514,0,1,0,1,0,2,0,0,0,0,0,1.0
302945,unlabelled,1543,182,0,0,2,0,0,0,0,0.9997,72.0,0.0127,2,0.28,other,0.7163,0,medium,route_or_clarify,clarify,0.1067,0,1,0,1,1,3,0,0,0,0,0,1.0
302928,duplicate,1042,141,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.5294,1,low,clarify_first,route_duplicate,0.0348,0,1,0,1,1,3,0,0,0,0,0,1.0
302925,duplicate,10146,696,0,0,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0,other,0.3816,1,low,clarify_first,clarify,0.0102,0,1,0,1,1,3,0,0,0,0,0,1.0
302924,duplicate,1060,143,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.6782,0,medium,route_or_clarify,route_duplicate,0.026,0,1,0,1,1,3,0,0,0,0,0,1.0
302922,duplicate,1219,158,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.6774,0,medium,route_or_clarify,route_duplicate,0.0179,0,1,0,1,1,3,0,0,0,0,0,1.0
302921,duplicate,1219,158,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.6774,0,medium,route_or_clarify,route_duplicate,0.0179,0,1,0,1,1,3,0,0,0,0,0,1.0
302919,unlabelled,1350,169,0,0,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0,other,0.6695,0,medium,route_or_clarify,clarify,0.0191,0,1,0,1,1,3,0,0,0,0,0,1.0
302918,unlabelled,1350,169,0,0,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0,other,0.6695,0,medium,route_or_clarify,clarify,0.0191,0,1,0,1,1,3,0,0,0,0,0,1.0
302899,duplicate,1221,155,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,needs_info,0.4773,1,low,clarify_first,clarify,0.0404,0,1,0,1,1,3,0,0,0,0,0,1.0
302896,duplicate,1249,169,0,0,1,0,0,0,0,0.9997,72.0,0.0064,1,0.43,duplicate,0.5517,1,low,clarify_first,route_duplicate,0.0199,0,1,0,1,1,3,0,0,0,0,0,1.0
302894,duplicate,777,111,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.645,0,medium,route_or_clarify,route_duplicate,0.0701,0,1,0,1,0,2,0,0,0,0,0,1.0
302889,info_needed,1179,157,0,0,0,1,0,0,0,0.9878,72.0,0.0191,1,-1.0,duplicate,0.4288,1,low,clarify_first,route_duplicate,0.1132,0,1,0,1,1,3,0,0,0,0,0,1.0
302886,duplicate,1288,174,1,0,2,0,0,0,0,0.9997,72.0,0.0127,1,4.17,duplicate,0.6188,0,medium,route_or_clarify,route_duplicate,0.0732,0,1,0,1,1,3,0,0,0,0,0,1.0
302882,duplicate,1275,177,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.6177,0,medium,route_or_clarify,route_duplicate,0.0194,0,1,0,1,1,3,0,0,0,0,0,1.0
302879,error,464,71,0,0,2,1,0,0,0,0.9226,72.0,0.0318,3,5.54,bug,0.5198,1,low,clarify_first,route_technical,0.2976,0,0,0,0,0,0,1,1,1,0,3,0.0
302874,duplicate,2634,209,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.4899,1,low,clarify_first,route_duplicate,0.0272,0,1,0,1,1,3,0,0,0,0,0,1.0
302871,unlabelled,1300,174,1,0,1,1,0,0,0,0.9886,72.0,0.0255,2,0.63,other,0.5852,1,low,clarify_first,clarify,0.438,0,1,0,1,1,3,0,0,0,0,0,1.0
302868,duplicate,1198,150,0,0,0,0,0,0,0,0.9999,72.0,0.0,0,-1.0,duplicate,0.5042,1,low,clarify_first,route_duplicate,0.0438,0,1,0,1,1,3,0,0,0,0,0,1.0
302867,duplicate,1153,151,0,0,1,0,0,0,0,0.9997,72.0,0.0064,1,0.67,duplicate,0.5393,1,low,clarify_first,route_duplicate,0.0462,0,1,0,1,1,3,0,0,0,0,0,1.0
302864,duplicate,1181,144,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,duplicate,0.5929,1,low,clarify_first,route_duplicate,0.0462,0,1,0,1,1,3,0,0,0,0,0,1.0
302861,duplicate,1215,159,1,0,0,0,0,0,0,0.999,72.0,0.0,0,-1.0,duplicate,0.6679,0,medium,route_or_clarify,route_duplicate,0.0165,0,1,0,1,1,3,0,0,0,0,0,1.0
302859,duplicate,3338,301,0,0,2,0,0,0,0,0.9989,72.0,0.0127,1,1.35,other,0.5758,1,low,clarify_first,clarify,0.0977,0,1,0,1,1,3,0,0,0,0,0,1.0
302858,duplicate,1271,166,0,0,0,0,0,0,0,0.9986,72.0,0.0,0,-1.0,duplicate,0.4995,1,low,clarify_first,route_duplicate,0.0208,0,1,0,1,1,3,0,0,0,0,0,1.0
302857,duplicate,1271,166,0,0,0,0,0,0,0,0.9986,72.0,0.0,0,-1.0,duplicate,0.4995,1,low,clarify_first,route_duplicate,0.0208,0,1,0,1,1,3,0,0,0,0,0,1.0
302856,duplicate,1271,166,0,0,0,0,0,0,0,0.9986,72.0,0.0,0,-1.0,duplicate,0.4995,1,low,clarify_first,route_duplicate,0.0208,0,1,0,1,1,3,0,0,0,0,0,1.0
302850,duplicate,850,115,0,0,0,0,0,0,0,0.9975,72.0,0.0,0,-1.0,duplicate,0.5157,1,low,clarify_first,route_duplicate,0.0383,0,1,0,1,1,3,0,0,0,0,0,1.0
302849,duplicate,3919,295,0,1,1,0,0,1,0,0.9972,72.0,0.0064,1,18.28,duplicate,0.5053,1,low,clarify_first,route_duplicate,0.0259,0,1,0,1,1,3,0,0,0,0,0,1.0
302845,triage,197,27,0,0,0,1,0,0,0,0.9938,24.0,0.0191,1,-1.0,duplicate,0.4135,1,low,clarify_first,route_duplicate,0.2583,0,1,0,1,0,2,0,0,0,0,0,1.0
302844,triage,197,27,0,0,0,1,0,0,0,0.9933,24.0,0.0191,1,-1.0,duplicate,0.4135,1,low,clarify_first,route_duplicate,0.2583,0,1,0,1,0,2,0,0,0,0,0,1.0
302843,duplicate,197,27,0,0,0,0,0,0,0,0.9982,72.0,0.0,0,-1.0,duplicate,0.4135,1,low,clarify_first,route_duplicate,0.122,0,1,0,1,0,2,0,0,0,0,0,1.0
302842,duplicate,197,27,0,0,0,0,0,0,0,0.9982,72.0,0.0,0,-1.0,duplicate,0.4135,1,low,clarify_first,route_duplicate,0.122,0,1,0,1,0,2,0,0,0,0,0,1.0
302841,duplicate,197,27,0,0,0,0,0,0,0,0.9982,72.0,0.0,0,-1.0,duplicate,0.4135,1,low,clarify_first,route_duplicate,0.122,0,1,0,1,0,2,0,0,0,0,0,1.0
302837,unlabelled,1254,160,0,0,0,0,0,0,0,0.9936,72.0,0.0,0,-1.0,other,0.5794,1,low,clarify_first,clarify,0.0193,0,1,0,1,1,3,0,0,0,0,0,1.0
302833,triage,1103,151,0,0,0,1,0,0,0,0.9817,24.0,0.0191,1,-1.0,duplicate,0.5237,1,low,clarify_first,route_duplicate,0.2261,0,1,0,1,1,3,0,0,0,0,0,1.0
302828,triage,2333,198,0,0,0,1,0,0,0,0.9762,24.0,0.0191,1,-1.0,needs_info,0.545,1,low,clarify_first,clarify,0.1294,0,1,0,1,1,3,0,0,0,0,0,1.0
302827,triage,2333,198,0,0,0,1,0,0,0,0.9762,24.0,0.0191,1,-1.0,needs_info,0.545,1,low,clarify_first,clarify,0.1294,0,1,0,1,1,3,0,0,0,0,0,1.0
302826,duplicate,1399,189,0,0,0,1,0,0,0,0.9929,72.0,0.0191,1,-1.0,duplicate,0.5648,1,low,clarify_first,route_duplicate,0.0673,0,1,0,1,1,3,0,0,0,0,0,1.0
302822,triage,1115,140,0,0,0,1,0,0,0,0.9775,24.0,0.0191,1,-1.0,needs_info,0.616,0,medium,route_or_clarify,clarify,0.2913,0,1,0,1,1,3,0,0,0,0,0,1.0
302805,billing,1814,255,0,0,0,1,0,0,0,0.99,24.0,0.0191,1,-1.0,needs_info,0.4855,1,low,clarify_first,clarify,0.2638,0,1,0,1,1,3,0,0,0,0,0,1.0
302789,duplicate,1114,147,0,0,0,0,0,0,0,0.9994,72.0,0.0,0,-1.0,duplicate,0.6,0,medium,route_or_clarify,route_duplicate,0.0462,0,1,0,1,1,3,0,0,0,0,0,1.0
302786,ai_translated,1331,169,0,0,0,0,0,0,0,0.9982,72.0,0.0,0,-1.0,other,0.6121,0,medium,route_or_clarify,clarify,0.0191,0,1,0,1,1,3,0,0,0,0,0,1.0
302735,triage,1338,177,0,0,0,0,0,0,0,0.9996,24.0,0.0,0,-1.0,needs_info,0.6495,0,medium,route_or_clarify,clarify,0.2623,0,1,0,1,1,3,0,0,0,0,0,1.0
302725,unlabelled,1509,180,0,1,1,0,0,1,0,0.9997,72.0,0.0064,1,0.25,other,0.802,0,high,suggest_or_route,clarify,0.0238,0,1,0,1,1,3,0,0,0,0,0,1.0
302723,billing,1473,187,0,0,0,0,0,0,0,0.9992,24.0,0.0,0,-1.0,billing,0.4743,1,low,clarify_first,route_billing,0.5011,0,1,0,1,1,3,0,0,0,0,0,1.0
302717,triage,982,137,0,0,1,1,0,0,0,0.8954,24.0,0.0255,2,2.34,needs_info,0.5457,1,low,clarify_first,clarify,0.4902,0,1,0,1,1,3,0,0,0,0,0,1.0
302715,unlabelled,1222,166,0,0,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0,other,0.5721,1,low,clarify_first,clarify,0.0208,0,1,0,1,1,3,0,0,0,0,0,1.0
302709,triage,624,116,1,1,3,1,0,1,0,0.9717,24.0,0.0382,3,0.04,needs_info,0.6134,0,medium,route_or_clarify,clarify,0.38,0,1,0,1,0,2,0,0,0,0,0,1.0
302707,question,416,73,0,0,2,3,0,0,0,0.8882,72.0,0.0701,5,1.07,bug,0.3844,1,low,clarify_first,route_technical,0.4889,0,0,0,0,0,0,1,1,1,0,3,0.0
302705,unlabelled,1587,202,1,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,other,0.5202,1,low,clarify_first,clarify,0.0239,0,1,0,1,1,3,0,0,0,0,0,1.0
302694,ai_translated,1179,147,0,0,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0,other,0.5536,1,low,clarify_first,clarify,0.0462,0,1,0,1,1,3,0,0,0,0,0,1.0
302675,ai_translated,1315,168,0,0,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0,other,0.7107,0,medium,route_or_clarify,clarify,0.0191,0,1,0,1,1,3,0,0,0,0,0,1.0
302669,released,439,74,1,0,3,1,0,0,0,0.7475,72.0,0.0382,3,10.32,other,0.6008,0,medium,route_or_clarify,clarify,0.3125,0,0,0,0,0,0,0,0,0,0,0,1.0
302668,unlabelled,515,85,1,0,2,1,0,0,0,0.8694,72.0,0.0318,3,9.4,other,0.6813,0,medium,route_or_clarify,clarify,0.331,0,0,0,0,0,0,0,0,0,0,0,1.0
302660,unlabelled,514,87,1,1,2,1,0,1,0,0.8679,72.0,0.0318,3,0.03,other,0.5365,1,low,clarify_first,clarify,0.3782,0,0,0,0,0,0,0,0,0,0,0,1.0
302657,unlabelled,1353,173,0,0,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0,other,0.7369,0,medium,route_or_clarify,clarify,0.0201,0,1,0,1,1,3,0,0,0,0,0,1.0
302649,unlabelled,1334,184,0,0,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0,duplicate,0.3991,1,low,clarify_first,route_duplicate,0.031,0,1,0,1,1,3,0,0,0,0,0,1.0
302642,unlabelled,2221,221,0,0,2,1,0,0,0,0.8897,72.0,0.0318,3,0.01,duplicate,0.3162,1,low,clarify_first,route_duplicate,0.3734,0,1,0,1,1,3,0,0,0,0,0,1.0
302614,unlabelled,1297,179,0,0,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0,needs_info,0.5199,1,low,clarify_first,clarify,0.027,0,1,0,1,1,3,0,0,0,0,0,1.0
302613,duplicate,695,124,1,1,7,2,0,1,0,0.7703,72.0,0.0828,5,0.06,needs_info,0.4751,1,low,clarify_first,clarify,0.8538,1,0,0,0,0,0,0,0,0,0,0,1.0
