repo,issue_number,comment_id,clean_comment,comment_created_at,comment_author_login,comment_author_type,author_association,is_solution_comment,primary_label
microsoft/vscode,303181,4090096552,since this is a github copilot issue it's affecting vs code insiders edition as well.,2026-03-19 13:22:00+00:00,AnotherLaughingMan,User,NONE,0,duplicate
microsoft/vscode,303140,4089223022,"this sounds like model weirdness. you can probably work around it by adding some custom instructions. or, maybe you somehow have some custom instructions somewhere that are causing this?",2026-03-19 10:41:50+00:00,alexr00,User,MEMBER,0,unlabelled
microsoft/vscode,303108,4088390933,"i’m using the latest version … there is no update in vsc vào th 5, 19 thg 3, 2026 lúc 2:39 ch vs-code-engineering[bot] < @ . đã viết: vs-code-engineering[bot] left a comment (microsoft/vscode) thanks for creating this issue! it looks like you may be using an old version of vs code; the latest stable release is 1.112.0. please try upgrading to the latest version and checking whether this issue remains. happy coding! — reply to this email directly, view it on github , or unsubscribe . you are receiving this because you authored the thread.message id: @ .",2026-03-19 07:43:51+00:00,KarinaeNguyen,User,NONE,0,duplicate
microsoft/vscode,303086,4088151321,obrigado aguardo normalizacao,2026-03-19 06:42:38+00:00,lksmarques,User,NONE,0,duplicate
microsoft/vscode,303025,4086424102,"this is not a chatbot bro, first figure out what you wanna do, try using a different agent and tell it to investigate what the root of your problem is and verify it, your prompts shows you are misleading the ai. you should first try do the free course on prompt engineering and improve your english too. its got too many typos.",2026-03-18 23:56:17+00:00,briansbrian,User,NONE,0,triage
microsoft/vscode,302993,4086065271,"and i also had feedback on local sessions for the sessions app today: - we were doing various local agentic work in insiders - we move over to sessions and would like to pick up that work from insiders - it felt unexpected that there isn't a way to view our local agent work (though i understand it's an expected state at the moment, given the cli-focused path in sessions) i wonder if there's anything else we might be able to do here to 1) make users aware that this is expected, 2) potentially help them still maneuver to local session in the meantime. some ideas i had (these likely aren't the best, but i figured i'd share in case there could be any useful user insight from them): - keep local sessions in a ""hidden"" state that's initially filtered out, but users could adjust their filters to open local sessions. and if it truly isn't feasible to open / interact with such requests from sessions, then potentially guiding users to open insiders to interact with them. this way, it feels like sessions is still fully aware of all of my agentic work from insiders (a lot of which is the local agent), and it can help me get back to that local work when i want. - if we choose to surface local sessions in history, could we automatically guide users to ""continue in"" the copilot cli if they try to open or send a message to a local session? that way they still interact with copilot cli in sessions, but they can also continue local agent work related: would it be helpful to file an issue regarding what the ""local"" agent story for sessions would look like? as i write out the potential ideas above, they probably feel more like workarounds rather than the true solutions to our local agent story.",2026-03-18 22:48:30+00:00,bamurtaugh,User,MEMBER,0,bug
microsoft/vscode,302993,4087870749,"there is no future for ""local"" chat sessions in vs code, i.e. they will never be surfaced in the sessions app and will very likely have to change in vs code going forward. i.e., vs code will have to adopt a new runtime that is working on where you pick ""copilot cli"" or ""vs code cli"" or ""other vendor cli"" agent loop and then it will appear in the sessions app too.",2026-03-19 05:15:39+00:00,bpasero,User,MEMBER,0,bug
microsoft/vscode,302957,4085131116,??,2026-03-18 19:39:34+00:00,ST10467438,User,NONE,0,duplicate
microsoft/vscode,302945,4084947988,thanks for creating this issue! it looks like you may be using an old version of vs code; the latest stable release is 1.112.0. please try upgrading to the latest version and checking whether this issue remains. happy coding! problem still remains.,2026-03-18 19:02:39+00:00,zezim7,User,NONE,0,unlabelled
microsoft/vscode,302945,4089358686,"很抱歉，你的请求已失败。请重试。 copilot 请求 id: 12a1cfee-148b-466b-9e6b- [hash] gh 请求 id: 1498:8c363:4ba4218:54ae489:69bbd63e 原因: request failed: 400 {""error"":{""message"":""the requested model is not supported."",""code"":""model not supported"",""param"":""model"",""type"":""invalid request error""}} 版本: 1.112.0 (user setup) 提交: [hash] 日期: 2026-03-17t18:09:23z electron: 39.8.0 electronbuildid: 13470701 chromium: 142.0.7444.265 node.js: 22.22.0 v8: 14.2.231.22-electron.0 os: windows nt x64 10.0.22000",2026-03-19 11:05:41+00:00,baby-liu,User,NONE,0,unlabelled
