issue_number,total_events,reopen_count,unique_actors,reassignment_count,first_assignee,sla_breach_flag,all_labels_seen
99991,5,0,3,1,Venkat6871,0,type:bug|type:build/install|awaiting PR merge
100134,7,0,3,1,Venkat6871,0,type:bug|type:docs-bug|comp:ops|TF 2.19|awaiting PR merge
100138,7,0,3,1,Venkat6871,0,type:bug|type:docs-bug|comp:ops|TF 2.19|awaiting PR merge
100234,7,0,3,1,Venkat6871,0,type:bug|type:docs-bug|comp:ops|TF 2.19|awaiting PR merge
100237,6,0,3,1,Venkat6871,0,type:bug|TF 2.19|comp:ops|awaiting PR merge
100300,3,0,3,1,Venkat6871,0,type:bug
100317,11,0,4,2,Venkat6871,0,comp:lite|Android|TFLiteGooglePlayServices|type:support|stat:awaiting response|stale
100327,6,0,3,1,Venkat6871,0,type:bug|TF 2.19|comp:keras|stat:awaiting response
100434,12,0,6,3,Venkat6871,0,type:feature|subtype:macOS|comp:lite|iOS|stat:awaiting response|stale
100442,7,0,4,1,Venkat6871,0,type:bug|TF 2.19|subtype: ubuntu/linux|stat:awaiting response|stale
100500,4,0,3,1,Venkat6871,0,type:bug|type:docs-bug
100517,9,0,4,1,Venkat6871,0,type:bug|comp:xla|TF 2.19|2.21.0rc0|stat:awaiting response|stale
100519,9,0,4,1,Venkat6871,0,type:bug|comp:xla|TF 2.19|2.21.0rc0|stat:awaiting response|stale
100522,4,0,3,1,Venkat6871,0,type:bug|type:docs-bug
100533,12,0,5,4,Venkat6871,0,type:bug|type:support|comp:lite|Android
100590,8,0,3,1,Venkat6871,0,type:bug|TF 2.19|subtype:windows|comp:ops|stat:awaiting response|stale
100689,3,0,3,1,Venkat6871,0,type:bug
100872,8,0,4,1,Venkat6871,0,type:bug|comp:keras|comp:xla|TF 2.19|stat:awaiting response|stale
101017,3,0,3,1,Venkat6871,0,type:build/install
101115,6,0,3,1,Venkat6871,0,type:bug|TF 2.19|type:docs-bug|awaiting PR merge
101142,7,0,3,1,Venkat6871,0,type:build/install|TF 2.19|subtype: ubuntu/linux|stat:awaiting response
101181,7,0,3,1,Venkat6871,0,type:bug|TF 2.19|comp:xla|stat:awaiting response|stale
