repo,issue_number,event_id,event_type,event_created_at,actor_login,label_name,assignee_login,is_bot_actor
microsoft/vscode,303181,23716386825,labeled,2026-03-19 12:43:30+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303181,23716387432,closed,2026-03-19 12:43:32+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303177,23715790738,closed,2026-03-19 12:22:06+00:00,Bar-coh,,,False
microsoft/vscode,303177,23715794256,labeled,2026-03-19 12:22:13+00:00,vs-code-engineering[bot],~info-needed,,True
microsoft/vscode,303177,23715794609,labeled,2026-03-19 12:22:14+00:00,vs-code-engineering[bot],triage-needed,,True
microsoft/vscode,303177,23715810942,unlabeled,2026-03-19 12:22:50+00:00,vs-code-engineering[bot],~info-needed,,True
microsoft/vscode,303177,23715811139,labeled,2026-03-19 12:22:50+00:00,vs-code-engineering[bot],info-needed,,True
microsoft/vscode,303177,23715824330,unlabeled,2026-03-19 12:23:20+00:00,vs-code-engineering[bot],info-needed,,True
microsoft/vscode,303167,23715283432,labeled,2026-03-19 12:02:28+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303167,23715284201,closed,2026-03-19 12:02:29+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303166,23715280568,labeled,2026-03-19 12:02:21+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303166,23715281268,closed,2026-03-19 12:02:22+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303165,23715278651,labeled,2026-03-19 12:02:16+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303165,23715279159,closed,2026-03-19 12:02:17+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303162,23714854785,closed,2026-03-19 11:45:32+00:00,stopfeedwtf,,,False
microsoft/vscode,303162,23714872532,labeled,2026-03-19 11:46:12+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303162,23714873144,closed,2026-03-19 11:46:13+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303154,23712996747,labeled,2026-03-19 10:39:10+00:00,vs-code-engineering[bot],~spam,,True
microsoft/vscode,303154,23713011032,unlabeled,2026-03-19 10:39:42+00:00,vs-code-engineering[bot],~spam,,True
microsoft/vscode,303154,23713011082,labeled,2026-03-19 10:39:42+00:00,vs-code-engineering[bot],spam,,True
microsoft/vscode,303154,23713011190,closed,2026-03-19 10:39:43+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303154,23713012410,labeled,2026-03-19 10:39:45+00:00,vs-code-engineering[bot],invalid,,True
microsoft/vscode,303141,23712216342,labeled,2026-03-19 10:09:04+00:00,vs-code-engineering[bot],~chat-billing,,True
microsoft/vscode,303141,23712230187,unlabeled,2026-03-19 10:09:37+00:00,vs-code-engineering[bot],~chat-billing,,True
microsoft/vscode,303141,23712230236,labeled,2026-03-19 10:09:37+00:00,vs-code-engineering[bot],chat-billing,,True
microsoft/vscode,303141,23712230284,closed,2026-03-19 10:09:37+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303140,23712604758,assigned,2026-03-19 10:24:12+00:00,alexr00,,alexr00,False
microsoft/vscode,303140,23713065019,closed,2026-03-19 10:41:50+00:00,alexr00,,,False
microsoft/vscode,303131,23711402268,labeled,2026-03-19 09:37:35+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303131,23711402913,closed,2026-03-19 09:37:37+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303132,23711402049,labeled,2026-03-19 09:37:35+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303132,23711402665,closed,2026-03-19 09:37:36+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303125,23710554802,labeled,2026-03-19 09:06:31+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303125,23710555677,closed,2026-03-19 09:06:33+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303124,23710546602,labeled,2026-03-19 09:06:11+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303124,23710547371,closed,2026-03-19 09:06:13+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303122,23710368658,labeled,2026-03-19 08:59:17+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303122,23710369182,closed,2026-03-19 08:59:18+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303108,23708473920,labeled,2026-03-19 07:38:19+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303108,23708474431,closed,2026-03-19 07:38:20+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303105,23708316807,labeled,2026-03-19 07:30:30+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303105,23708317263,closed,2026-03-19 07:30:31+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303095,23707734708,labeled,2026-03-19 07:02:03+00:00,vs-code-engineering[bot],ai-translated,,True
microsoft/vscode,303095,23707736233,labeled,2026-03-19 07:02:08+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303095,23707736907,closed,2026-03-19 07:02:10+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303095,23707748626,labeled,2026-03-19 07:02:45+00:00,vs-code-engineering[bot],new release,,True
microsoft/vscode,303090,23707415472,labeled,2026-03-19 06:45:13+00:00,vs-code-engineering[bot],~chat-request-failed,,True
microsoft/vscode,303090,23707425029,unlabeled,2026-03-19 06:45:44+00:00,vs-code-engineering[bot],~chat-request-failed,,True
microsoft/vscode,303090,23707425128,closed,2026-03-19 06:45:44+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303087,23707287611,labeled,2026-03-19 06:37:59+00:00,vs-code-engineering[bot],ai-translated,,True
microsoft/vscode,303087,23707288592,labeled,2026-03-19 06:38:03+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303087,23707288964,closed,2026-03-19 06:38:05+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303087,23707298066,labeled,2026-03-19 06:38:36+00:00,vs-code-engineering[bot],new release,,True
microsoft/vscode,303086,23707287997,labeled,2026-03-19 06:38:01+00:00,vs-code-engineering[bot],ai-translated,,True
microsoft/vscode,303086,23707288973,labeled,2026-03-19 06:38:05+00:00,vs-code-engineering[bot],duplicate,,True
microsoft/vscode,303086,23707289385,closed,2026-03-19 06:38:06+00:00,vs-code-engineering[bot],,,True
microsoft/vscode,303086,23707298500,labeled,2026-03-19 06:38:37+00:00,vs-code-engineering[bot],new release,,True
microsoft/vscode,303079,23706566385,labeled,2026-03-19 05:55:49+00:00,vs-code-engineering[bot],duplicate,,True
