repo,issue_id,issue_number,clean_title,clean_body,clean_text,labels_normalised,primary_label,state,created_at,closed_at,resolution_time_hours,comments_count,author_login,author_type,assignee_login,missing_version_flag,missing_error_flag,has_solution_comment
microsoft/vscode,4101432810,303181,rate limiting,"type: bug constantly hitting rate limiting across all models with simple requests vs code version: code 1.111.0 ( [hash] , 2026-03-06t23:06:10z) os version: linux x64 6.19.8-zen1-1-zen modes: system info |item|value| |cpus|intel(r) core(tm) i7-5600u cpu @ 2.60ghz (4 x 3092)| |gpu status|2d canvas: enabled gpu0: vendor= 0x8086 [google inc. (intel)], device=0x1616 [angle (intel, mesa intel(r) hd graphics 5500 (bdw gt2), opengl 4.6 (core profile) mesa 26.0.2-arch1.1)], driver vendor=mesa, driver version=26.0.2 active machine model name: machine model version: direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: disabled off trees in viz: disabled off video decode: enabled video encode: disabled software vulkan: disabled off webgl: enabled webgl2: enabled webgpu: disabled off webnn: disabled off| |load (avg)|1, 1, 1| |memory (system)|7.62gb (2.83gb free)| |process argv|--crash-reporter-id 3bbd2d27-612a-4544-bfc7- [hash] | |screen reader|no| |vm|0%| |desktop session|cinnamon| |xdg current desktop|x-cinnamon| |xdg session desktop|cinnamon| |xdg session type|x11| extensions (12) extension|author (truncated)|version --- claude-code|ant|2.1.79 npm-intellisense|chr|1.4.5 vscode-markdownlint|dav|0.61.1 vscode-eslint|dba|3.0.24 copilot-chat|git|0.39.2 vscode-github-actions|git|0.31.1 vscode-pull-request-github|git|0.132.1 powershell|ms-|2025.4.0 test-adapter-converter|ms-|0.2.1 oxc-vscode|oxc|1.50.0 luna-paint|tyr|0.17.0 vim|vsc|1.32.4 a/b experiments [code block]","rate limiting type: bug constantly hitting rate limiting across all models with simple requests vs code version: code 1.111.0 ( [hash] , 2026-03-06t23:06:10z) os version: linux x64 6.19.8-zen1-1-zen modes: system info |item|value| |cpus|intel(r) core(tm) i7-5600u cpu @ 2.60ghz (4 x 3092)| |gpu status|2d canvas: enabled gpu0: vendor= 0x8086 [google inc. (intel)], device=0x1616 [angle (intel, mesa intel(r) hd graphics 5500 (bdw gt2), opengl 4.6 (core profile) mesa 26.0.2-arch1.1)], driver vendor=mesa, driver version=26.0.2 active machine model name: machine model version: direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: disabled off trees in viz: disabled off video decode: enabled video encode: disabled software vulkan: disabled off webgl: enabled webgl2: enabled webgpu: disabled off webnn: disabled off| |load (avg)|1, 1, 1| |memory (system)|7.62gb (2.83gb free)| |process argv|--crash-reporter-id 3bbd2d27-612a-4544-bfc7- [hash] | |screen reader|no| |vm|0%| |desktop session|cinnamon| |xdg current desktop|x-cinnamon| |xdg session desktop|cinnamon| |xdg session type|x11| extensions (12) extension|author (truncated)|version --- claude-code|ant|2.1.79 npm-intellisense|chr|1.4.5 vscode-markdownlint|dav|0.61.1 vscode-eslint|dba|3.0.24 copilot-chat|git|0.39.2 vscode-github-actions|git|0.31.1 vscode-pull-request-github|git|0.132.1 powershell|ms-|2025.4.0 test-adapter-converter|ms-|0.2.1 oxc-vscode|oxc|1.50.0 luna-paint|tyr|0.17.0 vim|vsc|1.32.4 a/b experiments [code block]",duplicate,duplicate,closed,2026-03-19 12:42:39+00:00,2026-03-19 12:43:32+00:00,0.01,3,asafelobotomy,User,unassigned,0,0,0
microsoft/vscode,4101331267,303177,no code change,,no code change,triage,triage,closed,2026-03-19 12:21:15+00:00,2026-03-19 12:22:06+00:00,0.01,2,Bar-coh,User,unassigned,1,1,0
microsoft/vscode,4101227250,303167,rate limitation,"type: bug why am i being rate limited on the agent mode chat request? my subscription is still active and i have not yet exhausted my quota for this month. i still have over 38% remaining premium request for this month. extension version: 0.33.5 vs code version: code 1.106.3 ( [hash] , 2025-11-25t22:28:18.024z) os version: linux x64 6.8.0-101-generic modes: system info |item|value| |cpus|intel(r) core(tm) i3-5005u cpu @ 2.00ghz (4 x 1895)| |gpu status|2d canvas: enabled direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: disabled off trees in viz: disabled off video decode: enabled video encode: disabled software vulkan: disabled off webgl: enabled webgl2: enabled webgpu: disabled off webnn: disabled off| |load (avg)|6, 7, 5| |memory (system)|11.60gb (3.57gb free)| |process argv|--crash-reporter-id 804c6c3b-a6f2-4185-82c8- [hash] --crash-reporter-id 804c6c3b-a6f2-4185-82c8- [hash] | |screen reader|no| |vm|0%| |desktop session|cinnamon| |xdg current desktop|x-cinnamon| |xdg session desktop|cinnamon| |xdg session type|x11| a/b experiments [code block]","rate limitation type: bug why am i being rate limited on the agent mode chat request? my subscription is still active and i have not yet exhausted my quota for this month. i still have over 38% remaining premium request for this month. extension version: 0.33.5 vs code version: code 1.106.3 ( [hash] , 2025-11-25t22:28:18.024z) os version: linux x64 6.8.0-101-generic modes: system info |item|value| |cpus|intel(r) core(tm) i3-5005u cpu @ 2.00ghz (4 x 1895)| |gpu status|2d canvas: enabled direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: disabled off trees in viz: disabled off video decode: enabled video encode: disabled software vulkan: disabled off webgl: enabled webgl2: enabled webgpu: disabled off webnn: disabled off| |load (avg)|6, 7, 5| |memory (system)|11.60gb (3.57gb free)| |process argv|--crash-reporter-id 804c6c3b-a6f2-4185-82c8- [hash] --crash-reporter-id 804c6c3b-a6f2-4185-82c8- [hash] | |screen reader|no| |vm|0%| |desktop session|cinnamon| |xdg current desktop|x-cinnamon| |xdg session desktop|cinnamon| |xdg session type|x11| a/b experiments [code block]",duplicate,duplicate,closed,2026-03-19 12:01:32+00:00,2026-03-19 12:02:29+00:00,0.02,2,duncan982,User,unassigned,0,0,0
microsoft/vscode,4101227088,303166,rate limitation,"type: bug why am i being rate limited on the agent mode chat request? my subscription is still active and i have not yet exhausted my quota for this month. i still have over 38% remaining premium request for this month. extension version: 0.33.5 vs code version: code 1.106.3 ( [hash] , 2025-11-25t22:28:18.024z) os version: linux x64 6.8.0-101-generic modes: system info |item|value| |cpus|intel(r) core(tm) i3-5005u cpu @ 2.00ghz (4 x 1895)| |gpu status|2d canvas: enabled direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: disabled off trees in viz: disabled off video decode: enabled video encode: disabled software vulkan: disabled off webgl: enabled webgl2: enabled webgpu: disabled off webnn: disabled off| |load (avg)|6, 7, 5| |memory (system)|11.60gb (3.57gb free)| |process argv|--crash-reporter-id 804c6c3b-a6f2-4185-82c8- [hash] --crash-reporter-id 804c6c3b-a6f2-4185-82c8- [hash] | |screen reader|no| |vm|0%| |desktop session|cinnamon| |xdg current desktop|x-cinnamon| |xdg session desktop|cinnamon| |xdg session type|x11| a/b experiments [code block]","rate limitation type: bug why am i being rate limited on the agent mode chat request? my subscription is still active and i have not yet exhausted my quota for this month. i still have over 38% remaining premium request for this month. extension version: 0.33.5 vs code version: code 1.106.3 ( [hash] , 2025-11-25t22:28:18.024z) os version: linux x64 6.8.0-101-generic modes: system info |item|value| |cpus|intel(r) core(tm) i3-5005u cpu @ 2.00ghz (4 x 1895)| |gpu status|2d canvas: enabled direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: disabled off trees in viz: disabled off video decode: enabled video encode: disabled software vulkan: disabled off webgl: enabled webgl2: enabled webgpu: disabled off webnn: disabled off| |load (avg)|6, 7, 5| |memory (system)|11.60gb (3.57gb free)| |process argv|--crash-reporter-id 804c6c3b-a6f2-4185-82c8- [hash] --crash-reporter-id 804c6c3b-a6f2-4185-82c8- [hash] | |screen reader|no| |vm|0%| |desktop session|cinnamon| |xdg current desktop|x-cinnamon| |xdg session desktop|cinnamon| |xdg session type|x11| a/b experiments [code block]",duplicate,duplicate,closed,2026-03-19 12:01:30+00:00,2026-03-19 12:02:22+00:00,0.01,2,duncan982,User,unassigned,0,0,0
microsoft/vscode,4101227059,303165,rate limitation,"type: bug why am i being rate limited on the agent mode chat request? my subscription is still active and i have not yet exhausted my quota for this month. i still have over 38% remaining premium request for this month. extension version: 0.33.5 vs code version: code 1.106.3 ( [hash] , 2025-11-25t22:28:18.024z) os version: linux x64 6.8.0-101-generic modes: system info |item|value| |cpus|intel(r) core(tm) i3-5005u cpu @ 2.00ghz (4 x 1895)| |gpu status|2d canvas: enabled direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: disabled off trees in viz: disabled off video decode: enabled video encode: disabled software vulkan: disabled off webgl: enabled webgl2: enabled webgpu: disabled off webnn: disabled off| |load (avg)|6, 7, 5| |memory (system)|11.60gb (3.57gb free)| |process argv|--crash-reporter-id 804c6c3b-a6f2-4185-82c8- [hash] --crash-reporter-id 804c6c3b-a6f2-4185-82c8- [hash] | |screen reader|no| |vm|0%| |desktop session|cinnamon| |xdg current desktop|x-cinnamon| |xdg session desktop|cinnamon| |xdg session type|x11| a/b experiments [code block]","rate limitation type: bug why am i being rate limited on the agent mode chat request? my subscription is still active and i have not yet exhausted my quota for this month. i still have over 38% remaining premium request for this month. extension version: 0.33.5 vs code version: code 1.106.3 ( [hash] , 2025-11-25t22:28:18.024z) os version: linux x64 6.8.0-101-generic modes: system info |item|value| |cpus|intel(r) core(tm) i3-5005u cpu @ 2.00ghz (4 x 1895)| |gpu status|2d canvas: enabled direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: disabled off trees in viz: disabled off video decode: enabled video encode: disabled software vulkan: disabled off webgl: enabled webgl2: enabled webgpu: disabled off webnn: disabled off| |load (avg)|6, 7, 5| |memory (system)|11.60gb (3.57gb free)| |process argv|--crash-reporter-id 804c6c3b-a6f2-4185-82c8- [hash] --crash-reporter-id 804c6c3b-a6f2-4185-82c8- [hash] | |screen reader|no| |vm|0%| |desktop session|cinnamon| |xdg current desktop|x-cinnamon| |xdg session desktop|cinnamon| |xdg session type|x11| a/b experiments [code block]",duplicate,duplicate,closed,2026-03-19 12:01:30+00:00,2026-03-19 12:02:17+00:00,0.01,2,duncan982,User,unassigned,0,0,0
microsoft/vscode,4101144211,303162,error: error during execution,"type: bug error: error during execution extension version: 0.39.2 vs code version: code 1.111.0 ( [hash] , 2026-03-06t23:06:10z) os version: windows nt x64 10.0.26200 modes: system info |item|value| |cpus|intel(r) core(tm) ultra 9 285k (24 x 3686)| |gpu status|2d canvas: enabled gpu0: vendor= 0x10de, device=0x2b85 [nvidia geforce rtx 5090], driver vendor=nvidia, driver version=32.0.15.9579 active gpu1: vendor= 0x8086, device=0x7d67 [intel(r) graphics], driver version=32.0.101.8132 gpu2: vendor= 0x1414, device=0x008c [microsoft basic render driver], driver version=10.0.26100.7309 machine model name: machine model version: direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: disabled off trees in viz: disabled off video decode: enabled video encode: enabled webgl: enabled webgl2: enabled webgpu: enabled webnn: disabled off| |load (avg)|undefined| |memory (system)|63.39gb (36.19gb free)| |process argv|-n --crash-reporter-id ab777bae-24a0-4883-a2f8- [hash] | |screen reader|no| |vm|50%| a/b experiments [code block]","error: error during execution type: bug error: error during execution extension version: 0.39.2 vs code version: code 1.111.0 ( [hash] , 2026-03-06t23:06:10z) os version: windows nt x64 10.0.26200 modes: system info |item|value| |cpus|intel(r) core(tm) ultra 9 285k (24 x 3686)| |gpu status|2d canvas: enabled gpu0: vendor= 0x10de, device=0x2b85 [nvidia geforce rtx 5090], driver vendor=nvidia, driver version=32.0.15.9579 active gpu1: vendor= 0x8086, device=0x7d67 [intel(r) graphics], driver version=32.0.101.8132 gpu2: vendor= 0x1414, device=0x008c [microsoft basic render driver], driver version=10.0.26100.7309 machine model name: machine model version: direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: disabled off trees in viz: disabled off video decode: enabled video encode: enabled webgl: enabled webgl2: enabled webgpu: enabled webnn: disabled off| |load (avg)|undefined| |memory (system)|63.39gb (36.19gb free)| |process argv|-n --crash-reporter-id ab777bae-24a0-4883-a2f8- [hash] | |screen reader|no| |vm|50%| a/b experiments [code block]",duplicate,duplicate,closed,2026-03-19 11:45:27+00:00,2026-03-19 11:45:32+00:00,0.0,2,stopfeedwtf,User,unassigned,0,0,0
microsoft/vscode,4100818475,303154,sasa,we have written the needed data into your clipboard because it was too large to send. please paste.,sasa we have written the needed data into your clipboard because it was too large to send. please paste.,invalid,invalid,closed,2026-03-19 10:38:30+00:00,2026-03-19 10:39:43+00:00,0.02,2,Kalyan-111457,User,unassigned,1,1,0
microsoft/vscode,4100655963,303141,my copilot quota didn't reset,"type: bug i was nearing my quota in early march - it was warning it would reset on march 14th. i then didn't code for about a week, but i never exceeded my quota. today on the 19th, i did 2 small prompts, and on the 3rd it said i'd exceeded my quota and it would reset on april 15th. i somehow lost a months quota. vs code version: code 1.111.0 ( [hash] , 2026-03-06t23:06:10z) os version: windows nt x64 10.0.19045 modes: system info |item|value| |cpus|intel(r) core(tm) i7-1065g7 cpu @ 1.30ghz (8 x 1498)| |gpu status|2d canvas: enabled gpu0: vendor= 0x8086, device=0x8a52 [intel(r) iris(r) plus graphics], driver vendor=intel, driver version=30.0.101.3118 active gpu1: vendor= 0x10de, device=0x2191 [nvidia geforce gtx 1660 ti with max-q design], driver version=31.0.15.3892 gpu2: vendor= 0x1414, device=0x008c [microsoft basic render driver], driver version=10.0.19041.5794 machine model name: machine model version: direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: disabled off trees in viz: disabled off video decode: enabled video encode: enabled webgl: enabled webgl2: enabled webgpu: enabled webnn: disabled off| |load (avg)|undefined| |memory (system)|15.60gb (3.89gb free)| |process argv|--crash-reporter-id 61e10135-4e12-4081-90c1- [hash] | |screen reader|no| |vm|0%| extensions (29) extension|author (truncated)|version --- quickserve|deb|1.1.0 docker|doc|0.18.0 gitlens|eam|17.11.1 snapshots-for-ai|gbt|8.2.0 copilot-chat|git|0.39.2 vscode-sshfs|kel|1.26.1 unity-code-snippets|kle|2.4.0 matched-line-dimmer|ldl|0.0.3 rainbow-csv|mec|3.24.1 vscode-containers|ms-|2.4.1 vscode-docker|ms-|2.0.0 csdevkit|ms-|2.10.3 csharp|ms-|2.120.3 vscode-dotnet-runtime|ms-|3.0.0 playwright|ms-|1.1.17 jupyter-keymap|ms-|1.1.2 remote-containers|ms-|0.447.0 remote-wsl|ms-|0.104.3 hexeditor|ms-|1.11.1 hexeditor|not|1.8.2 vscode-jest|ort|6.4.4 vscode-xml|red|0.29.0 shader|sle|1.1.5 code-spell-checker|str|4.5.6 code-spell-checker-australian-english|str|1.1.31 vstuc|vis|1.2.1 explorer|vit|1.48.2 volar|vue|3.2.6 markdown-all-in-one|yzh|3.6.3 a/b experiments [code block]","my copilot quota didn't reset type: bug i was nearing my quota in early march - it was warning it would reset on march 14th. i then didn't code for about a week, but i never exceeded my quota. today on the 19th, i did 2 small prompts, and on the 3rd it said i'd exceeded my quota and it would reset on april 15th. i somehow lost a months quota. vs code version: code 1.111.0 ( [hash] , 2026-03-06t23:06:10z) os version: windows nt x64 10.0.19045 modes: system info |item|value| |cpus|intel(r) core(tm) i7-1065g7 cpu @ 1.30ghz (8 x 1498)| |gpu status|2d canvas: enabled gpu0: vendor= 0x8086, device=0x8a52 [intel(r) iris(r) plus graphics], driver vendor=intel, driver version=30.0.101.3118 active gpu1: vendor= 0x10de, device=0x2191 [nvidia geforce gtx 1660 ti with max-q design], driver version=31.0.15.3892 gpu2: vendor= 0x1414, device=0x008c [microsoft basic render driver], driver version=10.0.19041.5794 machine model name: machine model version: direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: disabled off trees in viz: disabled off video decode: enabled video encode: enabled webgl: enabled webgl2: enabled webgpu: enabled webnn: disabled off| |load (avg)|undefined| |memory (system)|15.60gb (3.89gb free)| |process argv|--crash-reporter-id 61e10135-4e12-4081-90c1- [hash] | |screen reader|no| |vm|0%| extensions (29) extension|author (truncated)|version --- quickserve|deb|1.1.0 docker|doc|0.18.0 gitlens|eam|17.11.1 snapshots-for-ai|gbt|8.2.0 copilot-chat|git|0.39.2 vscode-sshfs|kel|1.26.1 unity-code-snippets|kle|2.4.0 matched-line-dimmer|ldl|0.0.3 rainbow-csv|mec|3.24.1 vscode-containers|ms-|2.4.1 vscode-docker|ms-|2.0.0 csdevkit|ms-|2.10.3 csharp|ms-|2.120.3 vscode-dotnet-runtime|ms-|3.0.0 playwright|ms-|1.1.17 jupyter-keymap|ms-|1.1.2 remote-containers|ms-|0.447.0 remote-wsl|ms-|0.104.3 hexeditor|ms-|1.11.1 hexeditor|not|1.8.2 vscode-jest|ort|6.4.4 vscode-xml|red|0.29.0 shader|sle|1.1.5 code-spell-checker|str|4.5.6 code-spell-checker-australian-english|str|1.1.31 vstuc|vis|1.2.1 explorer|vit|1.48.2 volar|vue|3.2.6 markdown-all-in-one|yzh|3.6.3 a/b experiments [code block]",billing,billing,closed,2026-03-19 10:08:08+00:00,2026-03-19 10:09:37+00:00,0.02,2,RichardLidstone,User,unassigned,0,0,0
microsoft/vscode,4100650980,303140,github is generating comments in czech language instead of slovak,"type: feature request github copilot in vscode suddenly generating comments in czech language instead of slovak, although slovak is used in all other comments in current file. in two months ago and before i had not this problem. please fix it, is annoying always correct it! i attached screenshot of this behaviour. ![image]( [url] extension version: 0.39.2 vs code version: code 1.111.0 ( [hash] , 2026-03-06t23:06:10z) os version: windows nt x64 10.0.26200 modes:","github is generating comments in czech language instead of slovak type: feature request github copilot in vscode suddenly generating comments in czech language instead of slovak, although slovak is used in all other comments in current file. in two months ago and before i had not this problem. please fix it, is annoying always correct it! i attached screenshot of this behaviour. ![image]( [url] extension version: 0.39.2 vs code version: code 1.111.0 ( [hash] , 2026-03-06t23:06:10z) os version: windows nt x64 10.0.26200 modes:",unlabelled,unlabelled,closed,2026-03-19 10:07:16+00:00,2026-03-19 10:41:50+00:00,0.58,2,jputis72,User,alexr00,0,1,0
microsoft/vscode,4100482391,303131,why am i being so badly rate limited?,"type: bug why am i being so badly rate limited? extension version: 0.39.0 vs code version: code 1.111.0 (universal) ( [hash] , 2026-03-06t23:06:10z) os version: darwin arm64 25.3.0 modes: system info |item|value| |cpus|apple m3 max (16 x 2400)| |gpu status|2d canvas: enabled gpu0: vendor= 0x106b [google inc. (apple)], device=0x0000 [angle (apple, angle metal renderer: apple m3 max, version 26.3.1 (build 25d2128))], driver vendor=apple, driver version=26.3.1 active machine model name: mac machine model version: 15.8 direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: enabled on trees in viz: disabled off video decode: enabled video encode: enabled webgl: enabled webgl2: enabled webgpu: enabled webnn: disabled off| |load (avg)|2, 3, 3| |memory (system)|64.00gb (0.08gb free)| |process argv|--crash-reporter-id 098f9cfe-1f6f-4120-8609- [hash] | |screen reader|no| |vm|0%| a/b experiments [code block]","why am i being so badly rate limited? type: bug why am i being so badly rate limited? extension version: 0.39.0 vs code version: code 1.111.0 (universal) ( [hash] , 2026-03-06t23:06:10z) os version: darwin arm64 25.3.0 modes: system info |item|value| |cpus|apple m3 max (16 x 2400)| |gpu status|2d canvas: enabled gpu0: vendor= 0x106b [google inc. (apple)], device=0x0000 [angle (apple, angle metal renderer: apple m3 max, version 26.3.1 (build 25d2128))], driver vendor=apple, driver version=26.3.1 active machine model name: mac machine model version: 15.8 direct rendering display compositor: disabled off ok gpu compositing: enabled multiple raster threads: enabled on opengl: enabled on rasterization: enabled raw draw: disabled off ok skia graphite: enabled on trees in viz: disabled off video decode: enabled video encode: enabled webgl: enabled webgl2: enabled webgpu: enabled webnn: disabled off| |load (avg)|2, 3, 3| |memory (system)|64.00gb (0.08gb free)| |process argv|--crash-reporter-id 098f9cfe-1f6f-4120-8609- [hash] | |screen reader|no| |vm|0%| a/b experiments [code block]",duplicate,duplicate,closed,2026-03-19 09:36:48+00:00,2026-03-19 09:37:37+00:00,0.01,2,tonyidiculla,User,unassigned,0,0,0
