repo,issue_number,event_id,event_type,event_created_at,actor_login,label_name,assignee_login
microsoft/vscode,303181,23716386825,labeled,2026-03-19T12:43:30Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303181,23716387432,closed,2026-03-19T12:43:32Z,vs-code-engineering[bot],,
microsoft/vscode,303177,23715790738,closed,2026-03-19T12:22:06Z,Bar-coh,,
microsoft/vscode,303177,23715794256,labeled,2026-03-19T12:22:13Z,vs-code-engineering[bot],~info-needed,
microsoft/vscode,303177,23715794609,labeled,2026-03-19T12:22:14Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,303177,23715810942,unlabeled,2026-03-19T12:22:50Z,vs-code-engineering[bot],~info-needed,
microsoft/vscode,303177,23715811139,labeled,2026-03-19T12:22:50Z,vs-code-engineering[bot],info-needed,
microsoft/vscode,303177,23715824330,unlabeled,2026-03-19T12:23:20Z,vs-code-engineering[bot],info-needed,
microsoft/vscode,303167,23715283432,labeled,2026-03-19T12:02:28Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303167,23715284201,closed,2026-03-19T12:02:29Z,vs-code-engineering[bot],,
microsoft/vscode,303166,23715280568,labeled,2026-03-19T12:02:21Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303166,23715281268,closed,2026-03-19T12:02:22Z,vs-code-engineering[bot],,
microsoft/vscode,303165,23715278651,labeled,2026-03-19T12:02:16Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303165,23715279159,closed,2026-03-19T12:02:17Z,vs-code-engineering[bot],,
microsoft/vscode,303162,23714854785,closed,2026-03-19T11:45:32Z,stopfeedwtf,,
microsoft/vscode,303162,23714872532,labeled,2026-03-19T11:46:12Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303162,23714873144,closed,2026-03-19T11:46:13Z,vs-code-engineering[bot],,
microsoft/vscode,303154,23712996747,labeled,2026-03-19T10:39:10Z,vs-code-engineering[bot],~spam,
microsoft/vscode,303154,23713011032,unlabeled,2026-03-19T10:39:42Z,vs-code-engineering[bot],~spam,
microsoft/vscode,303154,23713011082,labeled,2026-03-19T10:39:42Z,vs-code-engineering[bot],spam,
microsoft/vscode,303154,23713011190,closed,2026-03-19T10:39:43Z,vs-code-engineering[bot],,
microsoft/vscode,303154,23713012410,labeled,2026-03-19T10:39:45Z,vs-code-engineering[bot],invalid,
microsoft/vscode,303141,23712216342,labeled,2026-03-19T10:09:04Z,vs-code-engineering[bot],~chat-billing,
microsoft/vscode,303141,23712230187,unlabeled,2026-03-19T10:09:37Z,vs-code-engineering[bot],~chat-billing,
microsoft/vscode,303141,23712230236,labeled,2026-03-19T10:09:37Z,vs-code-engineering[bot],chat-billing,
microsoft/vscode,303141,23712230284,closed,2026-03-19T10:09:37Z,vs-code-engineering[bot],,
microsoft/vscode,303140,23712604758,assigned,2026-03-19T10:24:12Z,alexr00,,alexr00
microsoft/vscode,303140,23713065019,closed,2026-03-19T10:41:50Z,alexr00,,
microsoft/vscode,303131,23711402268,labeled,2026-03-19T09:37:35Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303131,23711402913,closed,2026-03-19T09:37:37Z,vs-code-engineering[bot],,
microsoft/vscode,303132,23711402049,labeled,2026-03-19T09:37:35Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303132,23711402665,closed,2026-03-19T09:37:36Z,vs-code-engineering[bot],,
microsoft/vscode,303125,23710554802,labeled,2026-03-19T09:06:31Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303125,23710555677,closed,2026-03-19T09:06:33Z,vs-code-engineering[bot],,
microsoft/vscode,303124,23710546602,labeled,2026-03-19T09:06:11Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303124,23710547371,closed,2026-03-19T09:06:13Z,vs-code-engineering[bot],,
microsoft/vscode,303122,23710368658,labeled,2026-03-19T08:59:17Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303122,23710369182,closed,2026-03-19T08:59:18Z,vs-code-engineering[bot],,
microsoft/vscode,303108,23708473920,labeled,2026-03-19T07:38:19Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303108,23708474431,closed,2026-03-19T07:38:20Z,vs-code-engineering[bot],,
microsoft/vscode,303105,23708316807,labeled,2026-03-19T07:30:30Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303105,23708317263,closed,2026-03-19T07:30:31Z,vs-code-engineering[bot],,
microsoft/vscode,303095,23707734708,labeled,2026-03-19T07:02:03Z,vs-code-engineering[bot],ai-translated,
microsoft/vscode,303095,23707736233,labeled,2026-03-19T07:02:08Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303095,23707736907,closed,2026-03-19T07:02:10Z,vs-code-engineering[bot],,
microsoft/vscode,303095,23707748626,labeled,2026-03-19T07:02:45Z,vs-code-engineering[bot],new release,
microsoft/vscode,303090,23707415472,labeled,2026-03-19T06:45:13Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,303090,23707425029,unlabeled,2026-03-19T06:45:44Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,303090,23707425128,closed,2026-03-19T06:45:44Z,vs-code-engineering[bot],,
microsoft/vscode,303087,23707287611,labeled,2026-03-19T06:37:59Z,vs-code-engineering[bot],ai-translated,
microsoft/vscode,303087,23707288592,labeled,2026-03-19T06:38:03Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303087,23707288964,closed,2026-03-19T06:38:05Z,vs-code-engineering[bot],,
microsoft/vscode,303087,23707298066,labeled,2026-03-19T06:38:36Z,vs-code-engineering[bot],new release,
microsoft/vscode,303086,23707287997,labeled,2026-03-19T06:38:01Z,vs-code-engineering[bot],ai-translated,
microsoft/vscode,303086,23707288973,labeled,2026-03-19T06:38:05Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303086,23707289385,closed,2026-03-19T06:38:06Z,vs-code-engineering[bot],,
microsoft/vscode,303086,23707298500,labeled,2026-03-19T06:38:37Z,vs-code-engineering[bot],new release,
microsoft/vscode,303079,23706566385,labeled,2026-03-19T05:55:49Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303079,23706566765,closed,2026-03-19T05:55:50Z,vs-code-engineering[bot],,
microsoft/vscode,303078,23706565865,labeled,2026-03-19T05:55:46Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303078,23706566313,closed,2026-03-19T05:55:48Z,vs-code-engineering[bot],,
microsoft/vscode,303072,23706397474,labeled,2026-03-19T05:45:05Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303072,23706397844,closed,2026-03-19T05:45:07Z,vs-code-engineering[bot],,
microsoft/vscode,303071,23706318289,labeled,2026-03-19T05:40:50Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303071,23706318541,closed,2026-03-19T05:40:51Z,vs-code-engineering[bot],,
microsoft/vscode,303065,23705819678,labeled,2026-03-19T05:13:14Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,303065,23705831986,unlabeled,2026-03-19T05:13:52Z,vs-code-engineering[bot],~chat-request-failed,
microsoft/vscode,303065,23705832033,closed,2026-03-19T05:13:52Z,vs-code-engineering[bot],,
microsoft/vscode,303025,23699942363,labeled,2026-03-18T23:40:27Z,vs-code-engineering[bot],~info-needed,
microsoft/vscode,303025,23699942598,labeled,2026-03-18T23:40:27Z,vs-code-engineering[bot],triage-needed,
microsoft/vscode,303025,23699951785,labeled,2026-03-18T23:40:59Z,vs-code-engineering[bot],new release,
microsoft/vscode,303025,23699952707,unlabeled,2026-03-18T23:41:02Z,vs-code-engineering[bot],~info-needed,
microsoft/vscode,303025,23699952783,labeled,2026-03-18T23:41:03Z,vs-code-engineering[bot],info-needed,
microsoft/vscode,303025,23703434987,closed,2026-03-19T02:56:32Z,Reddwalkermedia,,
microsoft/vscode,303023,23699876114,labeled,2026-03-18T23:37:01Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303023,23699876550,closed,2026-03-18T23:37:02Z,vs-code-engineering[bot],,
microsoft/vscode,303006,23698655196,labeled,2026-03-18T22:35:00Z,vs-code-engineering[bot],duplicate,
microsoft/vscode,303006,23698655533,closed,2026-03-18T22:35:01Z,vs-code-engineering[bot],,
microsoft/vscode,302993,23696984995,assigned,2026-03-18T21:18:13Z,bpasero,,bpasero
microsoft/vscode,302993,23705838620,assigned,2026-03-19T05:14:17Z,Copilot,,Copilot
